ano;produtor;venceu;nome
1980;Allan Carr;1;Can't Stop the Music
1980;Lawrence Gordon;0;Flash Gordon
1981;Bo Derek;1;Tarzan  the Ape Man
1982;Matt Cimber;1;Butterfly
1983;Fred Karno;0;The Lonely Lady
1984;Golden Harvest;1;Bolero
1985;The Cannon Group;1;Rambo: First Blood Part II
1986;Golden Harvest;0;Shanghai Surprise
1987;The Cannon Group;1;Over the Top
1988;Golden Harvest;0;Caddyshack II
1989;Golden Harvest;1;Star Trek V: The Final Frontier
1990;Jerry Weintraub;1;The Adventures of Ford Fairlane
2008;Producer 1;1;Film A
2009;Producer 1;1;Film B
2018;Producer 2;1;Film C
2019;Producer 2;1;Film D
2030;Producer Long;1;Film E
2050;Producer Long;1;Film F
2099;Producer Far;1;Film G
2100;Producer Far;0;Film H
